word,pleasantness_male,pleasantness_female,pleasantness,imagery_male,imagery_female,imagery,frequency_male,frequency_female,frequency
gentle,4.52,4.46,4.49,3.23,3.53,3.4,2.9,3.53,3.24
gift,4.44,4.53,4.48,3.93,4.59,4.30,3.21,3.44,3.33
girl,4.52,4.17,4.3,4.73,4.59,4.65,4.59,4.09,4.32
glacier,3.21,3.44,3.32,4.19,4.09,4.13,1.71,1.5,1.6
glamour,4.23,4.22,4.23,3.48,3.86,3.69,2.14,2.88,2.54
gloom,1.9,1.53,1.72,2.85,3.11,3,1.83,2.24,2.05
glory,4.38,4.53,4.45,2.85,3.14,3.02,2.31,2.56,2.44
god,4.23,4.69,4.45,3.31,3.65,3.5,3.76,3.59,3.67
gold,4.35,4.5,4.42,4.41,4.68,4.56,3.03,3.18,3.11
graduate,4.4,4.31,4.36,3.73,4.38,4.10,4,3.97,3.98
green,3.67,3.43,3.55,4.48,4.66,4.58,4.21,3.5,3.8
grief,1.65,1.53,1.59,3.07,3.26,3.18,2.1,2.47,2.3
guillotine,1.72,1.58,1.66,4.3,4.14,4.21,1.62,1.41,1.51
hammer,3.13,2.56,2.8,4.63,4.86,4.76,2.59,2.24,2.4
handsome,4.26,4.49,4.37,3.37,4.34,3.92,3.21,3.76,3.52
happy,4.46,4.67,4.56,3.59,4.11,3.89,3.97,4.53,4.27
hatred,1.56,1.42,1.49,2.85,3.03,2.95,2.66,2.85,2.76
headache,1.62,1.64,1.63,3.04,3.56,3.33,3.66,3.97,3.83
health,4.56,4.44,4.51,3.04,3.59,3.34,3.52,3.94,3.75
heaven,4.38,4.83,4.60,3.44,3.97,3.74,3.17,3.21,3.19
hide,2.67,2.69,2.68,3.04,3.51,3.31,2.72,2.88,2.81
history,3.46,3.54,3.5,2.78,3.09,2.95,3.48,3.44,3.46
hitler,1.46,1.14,1.3,4.15,4.11,4.13,1.97,1.65,1.79
home,4.56,4.39,4.48,4.67,4.71,4.69,4.45,4.41,4.43
honest,4.49,4.64,4.56,2.85,3.2,3.05,3.24,3.79,3.53
